time,q_cmd,dq_cmd,tau_cmd,q_meas,dq_meas,ddq_meas,tau_meas
8.599999999988172661e-02,2.854307716381701727e-03,3.388488251748870278e-02,0.000000000000000000e+00,2.367436885833740234e-03,1.060156268067657948e-03,0.000000000000000000e+00,6.562500000000000000e-01
8.799999999988150634e-02,2.990062044218606569e-03,3.470212925530603842e-02,0.000000000000000000e+00,2.367436885833740234e-03,1.060156268067657948e-03,0.000000000000000000e+00,6.562500000000000000e-01
8.999999999988128607e-02,3.129029280807564019e-03,3.552041937469939403e-02,0.000000000000000000e+00,2.383410930633544922e-03,1.804197905585169792e-03,0.000000000000000000e+00,3.750000000000000000e-01
9.199999999988106580e-02,3.271212808014785194e-03,3.633973216589727467e-02,0.000000000000000000e+00,2.367436885833740234e-03,1.444334862753748894e-03,0.000000000000000000e+00,2.812500000000000000e-01
9.399999999988084554e-02,3.416615953392009887e-03,3.716004676861307116e-02,0.000000000000000000e+00,2.351447939872741699e-03,1.259566633962094784e-03,0.000000000000000000e+00,4.687500000000000000e-01
9.599999999988062527e-02,3.565241989801063837e-03,3.798134217182860123e-02,0.000000000000000000e+00,2.367436885833740234e-03,1.360410708002746105e-03,0.000000000000000000e+00,7.500000000000000000e-01
9.799999999988040500e-02,3.717094135037887770e-03,3.880359721358183495e-02,0.000000000000000000e+00,2.367436885833740234e-03,9.020754951052367687e-04,0.000000000000000000e+00,3.750000000000000000e-01
9.999999999988018473e-02,3.872175551456052099e-03,3.962679058075860988e-02,0.000000000000000000e+00,2.383410930633544922e-03,1.423603971488773823e-03,0.000000000000000000e+00,3.750000000000000000e-01
1.019999999998799645e-01,4.030489345589756411e-03,4.045090080888844031e-02,0.000000000000000000e+00,2.399384975433349609e-03,1.728739938698709011e-03,0.000000000000000000e+00,4.687500000000000000e-01
1.039999999998797442e-01,4.192038567776348000e-03,4.127590628194455213e-02,0.000000000000000000e+00,2.399384975433349609e-03,1.961925299838185310e-03,0.000000000000000000e+00,0.000000000000000000e+00
