time,q_cmd,dq_cmd,tau_cmd,q_meas,dq_meas,ddq_meas,tau_meas
1.999999999890977875e-03,1.005911774575112834e-06,5.032564190029536382e-04,0.000000000000000000e+00,2.553693950176239014e-02,8.914889767765998840e-03,0.000000000000000000e+00,-2.250000000000000000e+00
3.999999999890757607e-03,4.026047088117091083e-06,1.007709631082803932e-03,0.000000000000000000e+00,2.550497651100158691e-02,5.638134665787220001e-03,0.000000000000000000e+00,-2.531250000000000000e+00
5.999999999890537339e-03,9.063986668660915541e-06,1.513349973620140877e-03,0.000000000000000000e+00,2.548900246620178223e-02,2.451370237395167351e-03,0.000000000000000000e+00,-2.531250000000000000e+00
7.999999999890317071e-03,1.612328538543844045e-05,2.020167692100068458e-03,0.000000000000000000e+00,2.547301352024078369e-02,-7.839690078981220722e-04,0.000000000000000000e+00,-2.625000000000000000e+00
9.999999999890096802e-03,2.520747201883269563e-05,2.528152939846481113e-03,0.000000000000000000e+00,2.545703947544097900e-02,-3.567737294360995293e-03,0.000000000000000000e+00,-2.531250000000000000e+00
1.199999999988987653e-02,3.632004902976182931e-05,3.037295777785419589e-03,0.000000000000000000e+00,2.545703947544097900e-02,-5.473367404192686081e-03,0.000000000000000000e+00,-2.343750000000000000e+00
1.399999999988965627e-02,4.946449232849669565e-05,3.547586174210175941e-03,0.000000000000000000e+00,2.544106543064117432e-02,-6.735208909958600998e-03,0.000000000000000000e+00,-2.343750000000000000e+00
1.599999999988943600e-02,6.464425104291627244e-05,4.059014004548180087e-03,0.000000000000000000e+00,2.545703947544097900e-02,-6.801879964768886566e-03,0.000000000000000000e+00,-3.281250000000000000e+00
1.799999999988921573e-02,8.186274728620505350e-05,4.571569051129673565e-03,0.000000000000000000e+00,2.545703947544097900e-02,-6.192271597683429718e-03,0.000000000000000000e+00,-2.531250000000000000e+00
1.999999999988899546e-02,1.011233759239965629e-04,5.085241002958214296e-03,0.000000000000000000e+00,2.545703947544097900e-02,-5.243065301328897476e-03,0.000000000000000000e+00,-2.250000000000000000e+00
2.199999999988877519e-02,1.224295043409673073e-04,5.600019455482996289e-03,0.000000000000000000e+00,2.547301352024078369e-02,-3.743175650015473366e-03,0.000000000000000000e+00,-2.437500000000000000e+00
2.399999999988855492e-02,1.457844722068854493e-04,6.115893910373057171e-03,0.000000000000000000e+00,2.547301352024078369e-02,-2.081141807138919830e-03,0.000000000000000000e+00,-2.250000000000000000e+00
2.599999999988833466e-02,1.711915912421186129e-04,6.632853775293335793e-03,0.000000000000000000e+00,2.547301352024078369e-02,-7.433384307660162449e-04,0.000000000000000000e+00,-2.343750000000000000e+00
2.799999999988811439e-02,1.986541449826050628e-04,7.150888363682650177e-03,0.000000000000000000e+00,2.547301352024078369e-02,2.525057061575353146e-04,0.000000000000000000e+00,-2.812500000000000000e+00
2.999999999988789412e-02,2.281753885442928801e-04,7.669986894533594064e-03,0.000000000000000000e+00,2.547301352024078369e-02,2.525057061575353146e-04,0.000000000000000000e+00,-2.812500000000000000e+00
3.199999999988767385e-02,2.597585483870517133e-04,8.190138492174372023e-03,0.000000000000000000e+00,2.545703947544097900e-02,4.546671407297253609e-04,0.000000000000000000e+00,-2.531250000000000000e+00
3.399999999988745358e-02,2.934068220780610228e-04,8.711332186052595655e-03,0.000000000000000000e+00,2.545703947544097900e-02,8.164503960870206356e-04,0.000000000000000000e+00,-2.343750000000000000e+00
3.599999999988723332e-02,3.291233780546804020e-04,9.233556910521091218e-03,0.000000000000000000e+00,2.545703947544097900e-02,8.116666576825082302e-04,0.000000000000000000e+00,-2.343750000000000000e+00
3.799999999988701305e-02,3.669113553868060137e-04,9.756801504625675289e-03,0.000000000000000000e+00,2.544106543064117432e-02,-9.755113751452881843e-06,0.000000000000000000e+00,-2.531250000000000000e+00
3.999999999988679278e-02,4.067738635387174511e-04,1.028105471189499909e-02,0.000000000000000000e+00,2.545703947544097900e-02,5.236140350461937487e-05,0.000000000000000000e+00,-2.343750000000000000e+00
4.199999999988657251e-02,4.487139821304213130e-04,1.080630518013240421e-02,0.000000000000000000e+00,2.545703947544097900e-02,-4.225955344736576080e-04,0.000000000000000000e+00,-2.718750000000000000e+00
4.399999999988635224e-02,4.927347606984934427e-04,1.133254146120990860e-02,0.000000000000000000e+00,2.545703947544097900e-02,-7.051496068015694618e-04,0.000000000000000000e+00,-2.718750000000000000e+00
