time,LeftHipRoll_q_cmd,LeftHipRoll_dq_cmd,LeftHipRoll_tau_cmd,LeftHipRoll_q_meas,LeftHipRoll_dq_meas,LeftHipRoll_ddq_meas,LeftHipRoll_tau_meas,LeftKnee_q_cmd,LeftKnee_dq_cmd,LeftKnee_tau_cmd,LeftKnee_q_meas,LeftKnee_dq_meas,LeftKnee_ddq_meas,LeftKnee_tau_meas
2.199999999988877519e-02,1.355184848047602308e+00,8.509421654244767388e-03,0.000000000000000000e+00,9.926615953445434570e-01,4.020890891551971436e-01,0.000000000000000000e+00,3.628125000000000000e+01,8.951848480476023440e-01,8.509421654244767388e-03,0.000000000000000000e+00,8.198509812355041504e-01,2.280824631452560425e-01,0.000000000000000000e+00,6.562500000000000000e+00
2.399999999988855492e-02,1.355220239439441254e+00,9.304007281205227062e-03,0.000000000000000000e+00,9.934285879135131836e-01,3.914897739887237549e-01,0.000000000000000000e+00,3.553125000000000000e+01,8.952202394394412899e-01,9.304007281205227062e-03,0.000000000000000000e+00,8.202344775199890137e-01,2.307115644216537476e-01,0.000000000000000000e+00,7.218750000000000000e+00
2.599999999988833466e-02,1.355258774099769692e+00,1.010202024607019348e-02,0.000000000000000000e+00,9.940198063850402832e-01,3.768588602542877197e-01,0.000000000000000000e+00,3.468750000000000000e+01,8.952587740997696164e-01,1.010202024607019348e-02,0.000000000000000000e+00,8.206499218940734863e-01,2.309707105159759521e-01,0.000000000000000000e+00,6.843750000000000000e+00
2.799999999988811439e-02,1.355300462354515512e+00,1.090344268319752737e-02,0.000000000000000000e+00,9.945470690727233887e-01,3.604357838630676270e-01,0.000000000000000000e+00,3.450000000000000000e+01,8.953004623545156582e-01,1.090344268319752737e-02,0.000000000000000000e+00,8.210973143577575684e-01,2.290439903736114502e-01,0.000000000000000000e+00,6.843750000000000000e+00
2.999999999988789412e-02,1.355345314482204966e+00,1.170825642792671165e-02,0.000000000000000000e+00,9.950743913650512695e-01,3.396142721176147461e-01,0.000000000000000000e+00,3.468750000000000000e+01,8.953453144822050014e-01,1.170825642792671165e-02,0.000000000000000000e+00,8.216246366500854492e-01,2.259626537561416626e-01,0.000000000000000000e+00,6.937500000000000000e+00
3.199999999988767385e-02,1.355393340713213268e+00,1.251644301469159899e-02,0.000000000000000000e+00,9.956017136573791504e-01,3.164702951908111572e-01,0.000000000000000000e+00,3.468750000000000000e+01,8.953933407132133038e-01,1.251644301469159899e-02,0.000000000000000000e+00,8.222478032112121582e-01,2.237147986888885498e-01,0.000000000000000000e+00,7.031250000000000000e+00
3.399999999988745358e-02,1.355444551229014305e+00,1.332798367513565382e-02,0.000000000000000000e+00,9.963367581367492676e-01,3.014485239982604980e-01,0.000000000000000000e+00,3.553125000000000000e+01,8.954445512290143405e-01,1.332798367513565382e-02,0.000000000000000000e+00,8.222478032112121582e-01,2.237147986888885498e-01,0.000000000000000000e+00,7.031250000000000000e+00
3.599999999988723332e-02,1.355498956161423463e+00,1.414285933622979469e-02,0.000000000000000000e+00,9.973753690719604492e-01,3.045438528060913086e-01,0.000000000000000000e+00,3.609375000000000000e+01,8.954989561614234983e-01,1.414285933622979469e-02,0.000000000000000000e+00,8.228390216827392578e-01,2.205490320920944214e-01,0.000000000000000000e+00,6.468750000000000000e+00
3.799999999988701305e-02,1.355556565591836682e+00,1.496105061839301045e-02,0.000000000000000000e+00,9.982861876487731934e-01,3.094999790191650391e-01,0.000000000000000000e+00,3.506250000000000000e+01,8.955565655918367174e-01,1.496105061839301045e-02,0.000000000000000000e+00,8.233823180198669434e-01,2.170707881450653076e-01,0.000000000000000000e+00,7.125000000000000000e+00
3.999999999988679278e-02,1.355617389550465735e+00,1.578253783361585963e-02,0.000000000000000000e+00,9.982861876487731934e-01,3.094999790191650391e-01,0.000000000000000000e+00,3.506250000000000000e+01,8.956173895504656590e-01,1.578253783361585963e-02,0.000000000000000000e+00,8.237977623939514160e-01,2.151234745979309082e-01,0.000000000000000000e+00,6.656250000000000000e+00
