time,q_cmd,dq_cmd,tau_cmd,q_meas,dq_meas,ddq_meas,tau_meas
4.399999999988635224e-02,9.010627727900928363e-01,1.369115588994907484e-01,0.000000000000000000e+00,7.908012270927429199e-01,1.476824581623077393e-01,0.000000000000000000e+00,1.068750000000000000e+01
4.599999999988613197e-02,9.016244959973709339e-01,1.430068729606729649e-01,0.000000000000000000e+00,7.911687493324279785e-01,1.448498517274856567e-01,0.000000000000000000e+00,1.087500000000000000e+01
4.799999999988591171e-02,9.022108282777622223e-01,1.490851707945671512e-01,0.000000000000000000e+00,7.916321158409118652e-01,1.476735472679138184e-01,0.000000000000000000e+00,1.059375000000000000e+01
4.999999999988569144e-02,9.028217232519759605e-01,1.551457217421530477e-01,0.000000000000000000e+00,7.921434640884399414e-01,1.539618521928787231e-01,0.000000000000000000e+00,1.087500000000000000e+01
5.199999999988547117e-02,9.034571325900968564e-01,1.611877963132893887e-01,0.000000000000000000e+00,7.925748825073242188e-01,1.606894731521606445e-01,0.000000000000000000e+00,1.106250000000000000e+01
5.399999999988525090e-02,9.041170060144491094e-01,1.672106662348662176e-01,0.000000000000000000e+00,7.929743528366088867e-01,1.679770648479461670e-01,0.000000000000000000e+00,1.040625000000000000e+01
5.599999999988503063e-02,9.048012913025754722e-01,1.732136044988901169e-01,0.000000000000000000e+00,7.933099269866943359e-01,1.734836697578430176e-01,0.000000000000000000e+00,1.059375000000000000e+01
5.799999999988481036e-02,9.055099342903324411e-01,1.791958854104993282e-01,0.000000000000000000e+00,7.933099269866943359e-01,1.734836697578430176e-01,0.000000000000000000e+00,1.059375000000000000e+01
5.999999999988459010e-02,9.062428788751004660e-01,1.851567846359064573e-01,0.000000000000000000e+00,7.936134934425354004e-01,1.768833100795745850e-01,0.000000000000000000e+00,1.050000000000000000e+01
6.199999999988436983e-02,9.070000670191088465e-01,1.910955792502657125e-01,0.000000000000000000e+00,7.942047119140625000e-01,1.782863736152648926e-01,0.000000000000000000e+00,1.059375000000000000e+01
6.399999999988414956e-02,9.077814387528760909e-01,1.970115477854622876e-01,0.000000000000000000e+00,7.942047119140625000e-01,1.782863736152648926e-01,0.000000000000000000e+00,1.059375000000000000e+01
6.599999999988392929e-02,9.085869321787647390e-01,2.029039702778212273e-01,0.000000000000000000e+00,7.945083379745483398e-01,1.748473495244979858e-01,0.000000000000000000e+00,1.106250000000000000e+01
6.799999999988370902e-02,9.094164834746507609e-01,2.087721283157331631e-01,0.000000000000000000e+00,7.945083379745483398e-01,1.748473495244979858e-01,0.000000000000000000e+00,1.106250000000000000e+01
6.999999999988348875e-02,9.102700268977075293e-01,2.146153050871938972e-01,0.000000000000000000e+00,7.951634526252746582e-01,1.638790071010589600e-01,0.000000000000000000e+00,1.171875000000000000e+01
7.199999999988326849e-02,9.111474947883035913e-01,2.204327854272556952e-01,0.000000000000000000e+00,7.951634526252746582e-01,1.638790071010589600e-01,0.000000000000000000e+00,1.171875000000000000e+01
7.399999999988304822e-02,9.120488175740143477e-01,2.262238558653876797e-01,0.000000000000000000e+00,7.960902452468872070e-01,1.598558127880096436e-01,0.000000000000000000e+00,1.106250000000000000e+01
7.599999999988282795e-02,9.129739237737481972e-01,2.319878046727420762e-01,0.000000000000000000e+00,7.960902452468872070e-01,1.598558127880096436e-01,0.000000000000000000e+00,1.106250000000000000e+01
7.799999999988260768e-02,9.139227400019853675e-01,2.377239219093242595e-01,0.000000000000000000e+00,7.970649600028991699e-01,1.703940629959106445e-01,0.000000000000000000e+00,1.162500000000000000e+01
7.999999999988238741e-02,9.148951909731305454e-01,2.434314994710641000e-01,0.000000000000000000e+00,7.974804043769836426e-01,1.769703626632690430e-01,0.000000000000000000e+00,1.153125000000000000e+01
8.199999999988216715e-02,9.158911995059779709e-01,2.491098311367853646e-01,0.000000000000000000e+00,7.978000044822692871e-01,1.826062947511672974e-01,0.000000000000000000e+00,1.134375000000000000e+01
8.399999999988194688e-02,9.169106865282904417e-01,2.547582126150709225e-01,0.000000000000000000e+00,7.981355786323547363e-01,1.871315091848373413e-01,0.000000000000000000e+00,1.059375000000000000e+01
8.599999999988172661e-02,9.179535710814900051e-01,2.603759415910214536e-01,0.000000000000000000e+00,7.984231710433959961e-01,1.887154877185821533e-01,0.000000000000000000e+00,1.143750000000000000e+01
8.799999999988150634e-02,9.190197703254607831e-01,2.659623177729048549e-01,0.000000000000000000e+00,7.987267971038818359e-01,1.882365047931671143e-01,0.000000000000000000e+00,1.134375000000000000e+01
8.999999999988128607e-02,9.201091995434652615e-01,2.715166429386927649e-01,0.000000000000000000e+00,7.990303635597229004e-01,1.849507689476013184e-01,0.000000000000000000e+00,1.190625000000000000e+01
9.199999999988106580e-02,9.212217721471709364e-01,2.770382209824841513e-01,0.000000000000000000e+00,7.993978857994079590e-01,1.802504360675811768e-01,0.000000000000000000e+00,1.190625000000000000e+01
9.399999999988084554e-02,9.223573996817892029e-01,2.825263579608098818e-01,0.000000000000000000e+00,7.998613119125366211e-01,1.770684570074081421e-01,0.000000000000000000e+00,1.200000000000000000e+01
9.599999999988062527e-02,9.235159918313254890e-01,2.879803621388193902e-01,0.000000000000000000e+00,7.998613119125366211e-01,1.770684570074081421e-01,0.000000000000000000e+00,1.200000000000000000e+01
9.799999999988040500e-02,9.246974564239405225e-01,2.933995440363436624e-01,0.000000000000000000e+00,8.009638190269470215e-01,1.792228519916534424e-01,0.000000000000000000e+00,1.275000000000000000e+01
9.999999999988018473e-02,9.259016994374219545e-01,2.987832164738341012e-01,0.000000000000000000e+00,8.009638190269470215e-01,1.792228519916534424e-01,0.000000000000000000e+00,1.275000000000000000e+01
1.019999999998799645e-01,9.271286250047667821e-01,3.041306946181742688e-01,0.000000000000000000e+00,8.014911413192749023e-01,1.844892799854278564e-01,0.000000000000000000e+00,1.171875000000000000e+01
1.039999999998797442e-01,9.283781354198740177e-01,3.094412960283605130e-01,0.000000000000000000e+00,8.014911413192749023e-01,1.844892799854278564e-01,0.000000000000000000e+00,1.171875000000000000e+01
1.059999999998795239e-01,9.296501311433466030e-01,3.147143407010519756e-01,0.000000000000000000e+00,8.023700118064880371e-01,1.990260630846023560e-01,0.000000000000000000e+00,1.162500000000000000e+01
1.079999999998793037e-01,9.309445108084037912e-01,3.199491511159835433e-01,0.000000000000000000e+00,8.023700118064880371e-01,1.990260630846023560e-01,0.000000000000000000e+00,1.162500000000000000e+01
1.099999999998790834e-01,9.322611712269017747e-01,3.251450522812431854e-01,0.000000000000000000e+00,8.032009005546569824e-01,2.142307907342910767e-01,0.000000000000000000e+00,1.237500000000000000e+01
1.119999999998788631e-01,9.336000073954642264e-01,3.303013717784076264e-01,0.000000000000000000e+00,8.032009005546569824e-01,2.142307907342910767e-01,0.000000000000000000e+00,1.237500000000000000e+01
1.139999999998786429e-01,9.349609125017203093e-01,3.354174398075367991e-01,0.000000000000000000e+00,8.042395114898681641e-01,2.257633656263351440e-01,0.000000000000000000e+00,1.275000000000000000e+01
